Energy [eV]	Prob. Density [eV^-1]	Frac. Rec. Mom. [a_0^(-1)]
251.47461736244597	0.003710932	18.50932
288.9715468916487	0.003155973	18.49004
326.4684765195092	0.00033265439	18.47074
363.9654061602748	9.8166337e-05	18.45142
401.4623357695674	4.1440068e-05	18.43208
438.9592655343966	2.1164551e-05	18.41272
476.4561953133341	1.2183839e-05	18.39334
513.9531250990119	7.618049e-06	18.37394
551.4500566672218	5.0610371e-06	18.35453
588.9469866679124	3.5222695e-06	18.33509
626.4439183291836	2.5432645e-06	18.31564
663.94084859585	1.8920998e-06	18.29616
701.4377804768785	1.4429717e-06	18.27667
738.9347125279874	1.1236746e-06	18.25716
776.4316447281154	8.9078552e-07	18.23763
813.9285754244727	7.1714465e-07	18.21807
851.4255079631666	5.851855e-07	18.1985
888.9224406067508	4.8321247e-07	18.17891
926.4193734035794	4.0323935e-07	18.1593
963.9163064640106	3.3969003e-07	18.13967
