Energy [eV]	Prob. Density [eV^-1]	Frac. Rec. Mom. [a_0^(-1)]
250.0	0.003710932	18.50932
287.5	0.003155973	18.49004
325.0	0.00033265439	18.47074
362.5	9.8166337e-05	18.45142
400.0	4.1440068e-05	18.43208
437.5	2.1164551e-05	18.41272
475.0	1.2183839e-05	18.39334
512.5	7.618049e-06	18.37394
550.0	5.0610371e-06	18.35453
587.5	3.5222695e-06	18.33509
625.0	2.5432645e-06	18.31564
662.5	1.8920998e-06	18.29616
700.0	1.4429717e-06	18.27667
737.5	1.1236746e-06	18.25716
775.0	8.9078552e-07	18.23763
812.5	7.1714465e-07	18.21807
850.0	5.851855e-07	18.1985
887.5	4.8321247e-07	18.17891
925.0	4.0323935e-07	18.1593
962.5	3.3969003e-07	18.13967
